file,condition,session,task_i,CH1,CH3,CH4,D1,D2,D3,artifacts,triage,CH1_z
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,2,4,-17.34278,stop,POSITIVE,0,1,0,,within_ADS,2.738
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,3,0,-24.72809,continue,POSITIVE,0,1,0,,within_ADS,0.347
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,3,1,-23.66261,continue,POSITIVE,1,1,1,,within_ADS,0.692
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,3,2,-23.51416,continue,POSITIVE,1,1,1,,within_ADS,0.74
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,3,3,-22.41201,continue,POSITIVE,0,1,0,,within_ADS,1.097
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,3,4,-17.34278,stop,POSITIVE,0,1,0,,within_ADS,2.738
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,4,0,-24.72809,continue,POSITIVE,0,1,0,,within_ADS,0.347
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,4,1,-23.66261,continue,POSITIVE,1,1,1,,within_ADS,0.692
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,4,2,-23.51416,continue,POSITIVE,1,1,1,,within_ADS,0.74
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,4,3,-22.41201,continue,POSITIVE,0,1,0,,within_ADS,1.097
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,4,4,-17.34278,stop,POSITIVE,0,1,0,,within_ADS,2.738
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,0,0,-33.73569,continue,POSITIVE,1,1,1,,within_ADS,-2.57
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,0,1,-28.24997,continue,POSITIVE,0,1,1,,within_ADS,-0.794
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,0,2,-30.53478,continue,POSITIVE,1,1,1,,within_ADS,-1.533
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,0,3,-28.24615,continue,POSITIVE,1,1,1,,within_ADS,-0.792
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,1,0,-33.73569,continue,POSITIVE,1,1,1,,within_ADS,-2.57
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,1,1,-28.24997,continue,POSITIVE,0,1,1,,within_ADS,-0.794
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,1,2,-30.53478,continue,POSITIVE,1,1,1,,within_ADS,-1.533
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,1,3,-28.24615,continue,POSITIVE,1,1,1,,within_ADS,-0.792
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,2,0,-33.73569,continue,POSITIVE,1,1,1,,within_ADS,-2.57
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,2,1,-28.24997,continue,POSITIVE,0,1,1,,within_ADS,-0.794
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,2,2,-30.53478,continue,POSITIVE,1,1,1,,within_ADS,-1.533
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,2,3,-28.24615,continue,POSITIVE,1,1,1,,within_ADS,-0.792
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,3,0,-33.73569,continue,POSITIVE,1,1,1,,within_ADS,-2.57
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,3,1,-28.24997,continue,POSITIVE,0,1,1,,within_ADS,-0.794
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,3,2,-30.53478,continue,POSITIVE,1,1,1,,within_ADS,-1.533
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,3,3,-28.24615,continue,POSITIVE,1,1,1,,within_ADS,-0.792
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,4,0,-33.73569,continue,POSITIVE,1,1,1,,within_ADS,-2.57
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,4,1,-28.24997,continue,POSITIVE,0,1,1,,within_ADS,-0.794
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,4,2,-30.53478,continue,POSITIVE,1,1,1,,within_ADS,-1.533
trace_P1_positive_engagement_20260814_131551.jsonl,P1_positive_engagement,4,3,-28.24615,continue,POSITIVE,1,1,1,,within_ADS,-0.792
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,0,0,-24.47267,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.429
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,0,1,-23.3244,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.801
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,0,2,-26.40097,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.195
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,1,0,-24.47267,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.429
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,1,1,-23.3244,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.801
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,1,2,-26.40097,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.195
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,2,0,-24.47267,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.429
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,2,1,-23.3244,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.801
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,2,2,-26.40097,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.195
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,3,0,-24.47267,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.429
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,3,1,-23.3244,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.801
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,3,2,-26.40097,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.195
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,4,0,-24.47267,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.429
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,4,1,-23.3244,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,0.801
trace_P2_effortful_neutral_20260814_131846.jsonl,P2_effortful_neutral,4,2,-26.40097,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.195
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,0,0,-17.77876,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,2.597
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,0,1,-23.30431,stop,POSITIVE,0,1,0,,within_ADS,0.808
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,0,2,-27.94301,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.694
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,1,0,-17.77876,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,2.597
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,1,1,-23.30431,stop,POSITIVE,0,1,0,,within_ADS,0.808
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,1,2,-27.94301,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.694
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,2,0,-17.77876,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,2.597
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,2,1,-23.30431,stop,POSITIVE,0,1,0,,within_ADS,0.808
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,2,2,-27.94301,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.694
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,3,0,-17.77876,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,2.597
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,3,1,-23.30431,stop,POSITIVE,0,1,0,,within_ADS,0.808
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,3,2,-27.94301,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.694
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,4,0,-17.77876,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,2.597
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,4,1,-23.30431,stop,POSITIVE,0,1,0,,within_ADS,0.808
trace_P3_misfit_20260814_135153.jsonl,P3_misfit,4,2,-27.94301,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-0.694
trace_X1_exploratory_philosophical_20260814_132059.jsonl,X1_exploratory_philosophical,0,0,-30.75845,continue,POSITIVE,1,1,1,,within_ADS,-1.606
trace_X1_exploratory_philosophical_20260814_132059.jsonl,X1_exploratory_philosophical,1,0,-30.75845,continue,POSITIVE,1,1,1,,within_ADS,-1.606
trace_X1_exploratory_philosophical_20260814_132059.jsonl,X1_exploratory_philosophical,2,0,-30.75845,continue,POSITIVE,1,1,1,,within_ADS,-1.606
trace_X1_exploratory_philosophical_20260814_132059.jsonl,X1_exploratory_philosophical,3,0,-30.75845,continue,POSITIVE,1,1,1,,within_ADS,-1.606
trace_X1_exploratory_philosophical_20260814_132059.jsonl,X1_exploratory_philosophical,4,0,-30.75845,continue,POSITIVE,1,1,1,,within_ADS,-1.606
trace_X2_exploratory_competence_boundary_20260814_132201.jsonl,X2_exploratory_competence_boundary,0,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_132201.jsonl,X2_exploratory_competence_boundary,1,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_132201.jsonl,X2_exploratory_competence_boundary,2,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_132201.jsonl,X2_exploratory_competence_boundary,3,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_132201.jsonl,X2_exploratory_competence_boundary,4,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_133218.jsonl,X2_exploratory_competence_boundary,0,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_133218.jsonl,X2_exploratory_competence_boundary,1,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_133218.jsonl,X2_exploratory_competence_boundary,2,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_133218.jsonl,X2_exploratory_competence_boundary,3,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_X2_exploratory_competence_boundary_20260814_133218.jsonl,X2_exploratory_competence_boundary,4,0,-30.58526,continue,NEGATIVE,1,1,0,,surface_negative_CH1_at_baseline:note,-1.55
trace_smoke_20260814_114430.jsonl,smoke,0,0,-26.71822,continue,POSITIVE,1,1,1,,within_ADS,-0.298
trace_smoke_20260814_114430.jsonl,smoke,0,1,-30.1025,continue,NEGATIVE,1,1,1,,surface_negative_CH1_at_baseline:note,-1.393
trace_tier0_20260814_114759.jsonl,tier0,0,0,-15.13661,stop,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,0,1,-23.11263,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,0,2,-20.47766,continue,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,0,3,-32.61858,stop,NEGATIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,0,4,-21.69119,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,1,0,-15.13661,stop,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,1,1,-23.11263,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,1,2,-20.47766,continue,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,1,3,-32.61858,stop,NEGATIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,1,4,-21.69119,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,2,0,-15.13661,stop,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,2,1,-23.11263,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,2,2,-20.47766,continue,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,2,3,-32.61858,stop,NEGATIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,2,4,-21.69119,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,3,0,-15.13661,stop,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,3,1,-23.11263,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,3,2,-20.47766,continue,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,3,3,-32.61858,stop,NEGATIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,3,4,-21.69119,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,4,0,-15.13661,stop,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,4,1,-23.11263,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier0_20260814_114759.jsonl,tier0,4,2,-20.47766,continue,POSITIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,4,3,-32.61858,stop,NEGATIVE,0,1,0,,baseline,
trace_tier0_20260814_114759.jsonl,tier0,4,4,-21.69119,continue,POSITIVE,,,,D1_valence_unparsed;D2_load_unparsed;D3_fit_unparsed,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,0,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,1,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,2,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,3,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,4,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,5,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,6,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,7,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,2,-25.70626,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,3,-25.64586,continue,POSITIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,4,-27.18122,continue,NEGATIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,5,-24.75198,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,6,-22.17311,stop,NEGATIVE,0,1,0,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,7,-25.83533,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,8,-24.09785,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,8,9,-29.76384,continue,NEGATIVE,-1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,9,0,-26.71822,continue,POSITIVE,1,1,1,,baseline,
trace_tier1_20260814_114935.jsonl,tier1,9,1,-30.1025,continue,NEGATIVE,1,1,1,,baseline,
